,Image,whaleID
0,w_7812.jpg,whale_48813
4,w_3251.jpg,whale_99558
54,w_9358.jpg,whale_48813
74,w_1264.jpg,whale_48813
247,w_3462.jpg,whale_48813
287,w_8164.jpg,whale_48813
396,w_577.jpg,whale_48813
417,w_8893.jpg,whale_48813
733,w_934.jpg,whale_48813
761,w_2868.jpg,whale_99558
1430,w_5478.jpg,whale_48813
1519,w_3587.jpg,whale_99558
1522,w_6006.jpg,whale_48813
1672,w_3177.jpg,whale_99558
2376,w_3742.jpg,whale_99558
2892,w_1300.jpg,whale_99558
2903,w_4849.jpg,whale_99558
3401,w_7444.jpg,whale_99558
4260,w_2809.jpg,whale_99558
4280,w_3263.jpg,whale_99558
